Id,Title,Gender,ISBN,Editorial,Author(s)
BPL04,BUENAS PALABRAS 4,Language,978-987-1565-25-2,Letra Impresa,"Pizzi,Roggio"
CH001,Cuentos con historieta 1,Terror,978-987-1565-34-4,Letra Impresa,"Bierce Ambrose,Stoker Bram"
GZ007,Los relatos del tiempo,Science Fiction,978-987-1565-23-8,Letra Impresa,"Mitchell Edward P.,Fitzgerald Francis Scott,Shelley Mary"
